,0_0,0_1,0_2,1_1,1_2,2_2,1_0,2_0,2_1
S|,1.1798539938726695e-05,4.442035156863032e-05,0.01868227077577607,4.822492677847919e-05,3.867681353635127e-06,1.058491744649542e-07,5.393307888905794e-05,2.6056627272075086e-06,2.1682901930403335e-06
S|0x1,0,0,0,0,0,0,0,0,0
S|0x1|1o0,0.1738340384970116,0,1.409121664336991e-06,0.34602983075566546,0.05795178771685397,0.007935128759153295,0,0.06491682722696097,0.040680909576358226
S|0x1|1x2|1o0,0,0,0,0,0,0,0,0,0
S|0x1|1x2|1o0|2o1,0,0,0.30270900000000006,0.0,0,0,0,0,0
S|0x1|1x1|1x2|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|0o0|1o0|2o1,0,0,-1,0,0,-1,0,4.1808800187995994e-14,0
S|0x1|1x1|1x2|2x0|0o0|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x1|1x1|1x2|2x0|0o0|0o2|1o0|2o1,0,0,0,0,0,0.0,0,0,0
S|0x1|1x1|1x2|2x0|2x2|0o0|0o2|1o0|2o1,0,0,0,0,0,0,0,0,0
S|0x0,0,0,0,0,0,0,0,0,0
S|0x0|0o1,0,0,0.01048932006197962,0.24192653787764545,0.002041480898518969,0.010737174351467422,0.3460207612465679,0.2897647093425615,0.2110523341852623
S|0x0|1x1|0o1,0,0,0,0,0,0,0,0,0
S|0x0|1x1|0o1|2o2,0,0,0.001075046786960061,0,0.002732560760508619,0,0.588235294117647,0,0.0024346151302268347
S|0x0|1x0|1x1|0o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|0o1|2o1|2o2,0,0,-1,0,0.7,0,0,0,0
S|0x0|0x2|1x0|1x1|0o1|2o1|2o2,0,0,0,0,0,0,0,0,0
S|1x1,0,0,0,0,0,0,0,0,0
S|1x1|2o0,9.741427475249634e-09,1.5733913921649697e-08,9.090054785069193e-09,0,1.5905138118567642e-08,9.754927581727635e-09,0.02602702511736103,0,1.4140522609143254e-09
S|0x0|1x1|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1o2|2o0,0,0,0.0,0,0,0.7,0.21903,0,0.5881957753901876
S|0x0|1x1|2x1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|1o0|1o2|2o0,0,0.7,0.5882352500559807,0,0,0.7,0,0,0
S|0x0|0x2|1x1|2x1|1o0|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|0x2|1x1|2x1|0o1|1o0|1o2|2o0,0,0,0,0,0,0.7,0,0,0
S|0x0|0x2|1x1|2x1|2x2|0o1|1o0|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|1o2|2o0,0.44700000000000006,0,0,0,0,0.588235294117612,0.497421,0,0
S|1x1|2x1|2x2|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o1|1o2|2o0,0.7,0,0.0,0,0,0,0.0,0,0
S|0x0|1x1|2x1|2x2|0o1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|0o1,0.32109734923170574,0,0.29422405540064067,0,0.31889030447734323,0.26921434985010373,0.3460207612456266,0.3190207612421396,0.004050588623246776
S|1x1|2x0|0o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o1|1o2,0,0,0.7,0,0,0.58009336047,0.30000000000000004,0,0.357
S|1x1|2x0|2x2|0o1|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|1o0|1o2,0.7,0,0.7,0,0,0,0,0,0
S|0x2|1x1|2x0|2x2|0o1|1o0|1o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o0|0o1,0,0,0.7,0,0.30000000000000004,-1,-1,0,-1
S|1x1|2x0|2x1|0o0|0o1,0,0,0,0,0,0,0,0,0
S|0x2|1x1|2x0|0o0|0o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|0o1|0o2,0.49823529411733697,0,0,0,-1,-1,-1,0,-1
S|1x1|2x0|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|0o2|1o2,0.7,0,0,0,0,0,-1,0,0
S|1x0|1x1|2x0|2x2|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x0|1x1|2x0|2x2|0o1|0o2|1o2|2o1,0.7,0,0,0,0,0,0,0,0
S|0x0|1x0|1x1|2x0|2x2|0o1|0o2|1o2|2o1,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2x2|0o1|0o2|2o1,0.7,0,0,0,-1,0,0,0,0
S|0x0|1x1|2x0|2x2|0o1|0o2|2o1,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|1o2,0,0,0,0,0,0.7,0.7,0,-1
S|0x0|1x1|2x0|2x1|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2x2|0o1|0o2|1o2,0,0,0,0,0,0,0,0,0
S|1x0,0,0,0,0,0,0,0,0,0
S|1x0|1o1,1.5641925775038389e-13,2.7093686183399984e-09,4.33219042094047e-06,0,1.35761198704564e-13,3.779640767315859e-10,0,0.0001500766146113536,3.977530711715332e-06
S|0x0|1x0|1o1,0,0,0,0,0,0,0,0,0
S|0x0|1x0|1o1|1o2,0,0.30000000000000004,0.30000000000000004,0,0,0.0,0,0.7,0.0
S|0x0|1x0|2x2|1o1|1o2,0,0,0,0,0,0,0,0,0
S|0x0|1x0|2x2|1o1|1o2|2o0,0,-1,0.0003436558786736121,0,0,0,0,0,-1
S|0x0|0x1|1x0|2x2|1o1|1o2|2o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|2o2,0,0,0,0,0.0,0,0.7,0,-1
S|0x0|1x0|1x1|2x0|0o1|0o2|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|1o0,0,0,0,0,0.0,0.7,0,0,0.10289999999999999
S|0x0|1x1|1x2|2x0|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|2x0|0o1|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0.0
S|0x0|1x1|1x2|2x0|2x1|0o1|0o2|1o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|2x1|0o1|0o2|1o0|2o2,0,0,0,0,0.0,0,0,0,0
S|0x0|1x1|2x0|2x2|0o1|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o1,0,0,0,0,0,0,0,0,0
S|1x1|2x1|0o1|0o2,0.0002613523787917561,0,0,0,-1,-1,-1,-1,0
S|1x1|2x1|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|0o1|0o2|2o1,0,0,0,0,0.5842457466302999,0.7,0.7,0,0
S|0x2|1x1|0o1,0,0,0,0,0,0,0,0,0
S|0x2|1x1|0o1|2o2,0.0,0,0,0,0.5882352893224664,0,0,0,0.0
S|0x2|1x1|1x2|0o1|2o2,0,0,0,0,0,0,0,0,0
S|0x2|1x1|1x2|0o1|2o0|2o2,-1,0,0,0,0,0,0.7,0,0.012106082099999995
S|0x2|1x1|1x2|2x1|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x2|1x1|1x2|2x1|0o0|0o1|2o0|2o2,0,0,0,0,0,0,0.7,0,0
S|0x2|1x0|1x1|1x2|2x1|0o0|0o1|2o0|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o1|0o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x1|0o1|0o2|2o0,0,0,0,0,0.5862804158488469,0.7,0.587277403765935,0,0
S|0x0|1x1|2x1|2x2|0o1|0o2|2o0,0,0,0,0,0,0,0,0,0
S|1x1|1o0,0.29563521393934894,0.3492696695848986,0.31940084873448515,0,0.003176767907635514,0.3195614297492552,0,0.3335823337488157,0.3261419860100574
S|1x1|2x2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x2|0o2|1o0,0.7,0.30000000000000004,0,0,0.0,0,0,0.3863297783535925,0.5882349195996612
S|1x1|2x1|2x2|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2x1|2x2|0o0|0o2|1o0,0,0.7,0,0,-1,0,0,0.7,0
S|0x1|1x1|2x1|2x2|0o0|0o2|1o0,0,0,0,0,0,0,0,0,0
S|1x1|2o2,8.168200786615086e-06,3.218437406691343e-08,6.298124313912918e-06,0,6.478905700054003e-06,0,1.420041265343242e-06,0.01058939540655,7.955448736933675e-07
S|1x1|2x0|2o2,0,0,0,0,0,0,0,0,0
S|1x1|2x0|2o1|2o2,0.41613,0,0,0,0.30000000000000004,0,0.5855464596176774,0,0
S|0x0|1x1|2x0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|2x0|1o0|2o1|2o2,0,0,0.7,0,0,0,0,0,0
S|0x0|0x2|1x1|2x0|1o0|2o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|2o2,0,0,0,0,0,0,0,0,0
S|0x0|1x1|1x2|0o1|2o1|2o2,0,0,0,0,0,0,0.7,0,0
S|0x0|1x0|1x1|1x2|0o1|2o1|2o2,0,0,0,0,0,0,0,0,0
S|2x1,0,0,0,0,0,0,0,0,0
S|2x1|0o1,0.3444835570034751,0,0.1296699411571256,0.03492549998394698,0.017063924842907717,0.017399343918600377,0.12280514764790923,0.02582937484322428,0
S|1x0|2x1|0o1,0,0,0,0,0,0,0,0,0
S|1x0|2x1|0o1|0o2,0.34571443026028426,0,0,0,0,0.0,0,0,0
S|1x0|2x1|2x2|0o1|0o2,0,0,0,0,0,0,0,0,0
