root - INFO - Starting experiments at 2021-02-21 10:34:44.774426
root - INFO - Number of experiments : 729
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.1 |  Won: 905 | Lost: 3 | Draw: 92 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.1 |  Won: 911 | Lost: 2 | Draw: 87 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.1 |  Won: 890 | Lost: 0 | Draw: 110 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.1 |  Won: 915 | Lost: 0 | Draw: 85 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.1 |  Won: 862 | Lost: 5 | Draw: 133 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.1 |  Won: 878 | Lost: 2 | Draw: 120 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.1 |  Won: 877 | Lost: 0 | Draw: 123 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.2 |  Won: 888 | Lost: 0 | Draw: 112 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.2 |  Won: 890 | Lost: 0 | Draw: 110 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.2 |  Won: 871 | Lost: 0 | Draw: 129 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.2 |  Won: 866 | Lost: 3 | Draw: 131 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.2 |  Won: 897 | Lost: 0 | Draw: 103 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.2 |  Won: 843 | Lost: 0 | Draw: 157 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.2 |  Won: 881 | Lost: 0 | Draw: 119 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.3 |  Won: 877 | Lost: 0 | Draw: 123 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.3 |  Won: 903 | Lost: 0 | Draw: 97 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.3 |  Won: 878 | Lost: 8 | Draw: 114 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.3 |  Won: 877 | Lost: 0 | Draw: 123 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.3 |  Won: 897 | Lost: 0 | Draw: 103 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.3 |  Won: 898 | Lost: 0 | Draw: 102 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.3 |  Won: 888 | Lost: 0 | Draw: 112 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.4 |  Won: 900 | Lost: 0 | Draw: 100 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.4 |  Won: 884 | Lost: 0 | Draw: 116 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.4 |  Won: 884 | Lost: 3 | Draw: 113 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.4 |  Won: 880 | Lost: 0 | Draw: 120 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.4 |  Won: 896 | Lost: 0 | Draw: 104 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.4 |  Won: 868 | Lost: 1 | Draw: 131 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.4 |  Won: 821 | Lost: 0 | Draw: 179 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.5 |  Won: 874 | Lost: 0 | Draw: 126 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.5 |  Won: 864 | Lost: 0 | Draw: 136 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.5 |  Won: 858 | Lost: 0 | Draw: 142 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.5 |  Won: 892 | Lost: 1 | Draw: 107 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.5 |  Won: 905 | Lost: 0 | Draw: 95 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.5 |  Won: 909 | Lost: 0 | Draw: 91 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.5 |  Won: 824 | Lost: 7 | Draw: 169 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.6 |  Won: 881 | Lost: 0 | Draw: 119 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.6 |  Won: 876 | Lost: 1 | Draw: 123 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.6 |  Won: 856 | Lost: 7 | Draw: 137 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.6 |  Won: 897 | Lost: 0 | Draw: 103 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.6 |  Won: 897 | Lost: 0 | Draw: 103 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.6 |  Won: 877 | Lost: 0 | Draw: 123 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.6 |  Won: 830 | Lost: 12 | Draw: 158 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.7 |  Won: 826 | Lost: 30 | Draw: 144 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.7 |  Won: 888 | Lost: 7 | Draw: 105 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.7 |  Won: 785 | Lost: 61 | Draw: 154 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.7 |  Won: 874 | Lost: 5 | Draw: 121 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.7 |  Won: 877 | Lost: 6 | Draw: 117 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.7 |  Won: 783 | Lost: 11 | Draw: 206 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.7 |  Won: 887 | Lost: 11 | Draw: 102 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.4_EP_0.8 |  Won: 818 | Lost: 45 | Draw: 137 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.7_EP_0.8 |  Won: 841 | Lost: 28 | Draw: 131 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.4_EP_0.8 |  Won: 831 | Lost: 35 | Draw: 134 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.7_EP_0.8 |  Won: 863 | Lost: 2 | Draw: 135 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.1_RD_0.1_EP_0.8 |  Won: 788 | Lost: 106 | Draw: 106 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.3_RD_0.1_EP_0.8 |  Won: 828 | Lost: 23 | Draw: 149 | Total Played : 1000
root - INFO - SARSA : SARSA_LR_0.2_RD_0.1_EP_0.8 |  Won: 707 | Lost: 94 | Draw: 199 | Total Played : 1000
