,won,lost,draw
0,597,315,88
1,754,181,65
2,802,114,84
3,854,106,40
4,799,145,56
5,911,52,37
6,905,84,11
7,962,25,13
8,969,2,29
9,939,30,31
10,949,18,33
11,948,25,27
12,943,24,33
13,975,5,20
14,901,36,63
15,988,5,7
16,925,46,29
17,989,0,11
18,969,4,27
19,990,0,10
20,992,0,8
21,988,0,12
22,993,0,7
23,986,0,14
24,988,0,12
25,994,0,6
26,995,0,5
27,993,0,7
28,978,6,16
29,984,0,16
30,995,0,5
31,995,0,5
32,992,0,8
33,994,0,6
34,993,0,7
35,995,0,5
36,993,0,7
37,999,0,1
38,995,0,5
39,991,0,9
40,994,0,6
41,994,0,6
42,994,0,6
43,996,0,4
44,994,0,6
45,995,0,5
46,995,0,5
47,994,0,6
48,995,0,5
49,996,0,4
50,996,0,4
51,994,0,6
52,994,0,6
53,998,0,2
54,996,0,4
55,994,0,6
56,993,0,7
57,996,0,4
58,996,0,4
59,992,0,8
60,998,0,2
61,998,0,2
62,998,0,2
63,995,0,5
64,993,0,7
65,995,0,5
66,994,0,6
67,994,0,6
68,992,0,8
69,993,0,7
70,991,0,9
71,991,0,9
72,995,0,5
73,996,0,4
74,991,0,9
75,995,0,5
76,997,0,3
77,999,0,1
78,996,0,4
79,994,0,6
80,996,0,4
81,996,0,4
82,996,0,4
83,997,0,3
84,994,0,6
85,999,0,1
86,997,0,3
87,997,0,3
88,995,0,5
89,994,0,6
90,996,0,4
91,998,0,2
92,996,0,4
93,996,0,4
94,998,0,2
95,998,0,2
96,994,0,6
97,996,0,4
98,991,0,9
99,993,0,7
