,won,lost,draw
0,438,473,89
1,466,458,76
2,455,480,65
3,513,406,81
4,443,432,125
5,521,366,113
6,490,389,121
7,572,295,133
8,531,285,184
9,473,298,229
10,498,291,211
11,586,227,187
12,590,210,200
13,655,155,190
14,582,173,245
15,642,120,238
16,658,127,215
17,606,160,234
18,640,139,221
19,683,125,192
20,734,112,154
21,720,106,174
22,756,95,149
23,768,85,147
24,758,77,165
25,769,68,163
26,749,71,180
27,776,67,157
28,786,64,150
29,729,81,190
30,791,61,148
31,833,37,130
32,802,54,144
33,799,39,162
34,862,24,114
35,836,29,135
36,821,39,140
37,805,42,153
38,793,39,168
39,823,38,139
40,862,23,115
41,841,34,125
42,829,36,135
43,841,38,121
44,834,26,140
45,848,27,125
46,835,29,136
47,843,21,136
48,855,10,135
49,846,12,142
50,851,7,142
51,857,10,133
52,838,9,153
53,833,7,160
54,834,9,157
55,846,10,144
56,823,12,165
57,859,3,138
58,843,10,147
59,842,3,155
60,833,20,147
61,831,13,156
62,815,20,165
63,821,15,164
64,840,9,151
65,849,14,137
66,886,12,102
67,859,5,136
68,861,7,132
69,864,11,125
70,849,6,145
71,848,5,147
72,864,6,130
73,864,3,133
74,866,9,125
75,893,6,101
76,886,4,110
77,854,5,141
78,845,1,154
79,865,4,131
80,879,5,116
81,860,6,134
82,872,1,127
83,876,3,121
84,835,0,165
85,845,1,154
86,850,5,145
87,860,3,137
88,846,2,152
89,866,2,132
90,848,2,150
91,859,5,136
92,842,1,157
93,858,0,142
94,866,1,133
95,872,0,128
96,864,0,136
97,883,0,117
98,856,0,144
99,877,0,123
